title,miles,price,location,link,year
2000 Chevrolet Impala Sedan 4D,230000.0,1800.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/412258183108242/,2000.0
2005 Volkswagen Jetta GLI Sedan 4D,150000.0,3600.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/2806468669589005/,2005.0
1996 Buick LeSabre Custom Sedan 4D,130000.0,1200.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/289651442082556/,1996.0
2001 Ford Taurus,134000.0,1500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/829395137602302/,2001.0
2002 Nissan Altima 2.5 S Sedan 4D,145000.0,1200.0,"Littleton, CO",https://www.facebook.com/marketplace/item/226047538830766/,2002.0
2006 Chevrolet Cobalt,170000.0,2300.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/674747356496321/,2006.0
2002 Chevrolet Silverado 1500,245000.0,5800.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/807664920029621/,2002.0
2004 Chrysler 300M Sedan 4D,200000.0,585.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/270983994286034/,2004.0
2002 Mazda Protege Hatchback 4D,100000.0,2000.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/779432382903638/,2002.0
,,750.0,"Strasburg, CO",https://www.facebook.com/marketplace/item/341635067138075/,
2001 Toyota Echo Coupe 2D,170000.0,1200.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/795949104577407/,2001.0
2015 Dodge Dart SXT Sedan 4D,15000.0,6600.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/1451887238533515/,2015.0
2014 Nissan Versa SL Sedan 4D,73000.0,3600.0,"Aurora, CO",https://www.facebook.com/marketplace/item/393564675002753/,2014.0
1990 Nissan 300ZX Coupe 2D,180000.0,4000.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/353503999406442/,1990.0
2005 Chevrolet Malibu LT Sedan 4D,160000.0,1500.0,"Denver, CO",https://www.facebook.com/marketplace/item/335161784221722/,2005.0
1998 Honda Accord EX Sedan 4D,158000.0,2000.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/267428764654039/,1998.0
2004 Suzuki Suzuki Verona,130000.0,500.0,"Colorado Springs, CO",https://www.facebook.com/marketplace/item/277453526842439/,2004.0
